Date	Minimum temp	Maximum temp	Mittel temp	Niederschlag (l/m2)	Sonnenschein (hours)	Max wind gust
01.06.2019	11,8	27,7	19,9	0	15,1	17
02.06.2019	12,9	29	21,1	0	15,1	16
03.06.2019	14,1	30,6	21,4	0	13,7	61
04.06.2019	15,6	31,3	23,2	0	14,4	17
05.06.2019	16,7	31,3	24	0	13,1	53
06.06.2019	10,6	20,3	14,7	0	1,9	55
07.06.2019	9,5	28	17,2	0	10,5	49
08.06.2019	13,4	23	17,2	0	11,1	32
09.06.2019	11,7	19,1	15,2	0,3	4	26
10.06.2019	12,6	17,7	14,5	33,1	0,8	30
11.06.2019	11,5	17,7	15,1	15,8	4,3	23
12.06.2019	11,5	19,8	15,2	4,3	6,5	51
13.06.2019	12,9	24,5	18,2	0	12,8	27
14.06.2019	12	27,4	19,8	1,6	10	24
15.06.2019	12,2	25,5	19,6	27,3	8,2	88
16.06.2019	13,6	22,7	17,1	0,3	7,7	27
17.06.2019	13	26,9	20,2	0	13,9	27
18.06.2019	14,8	29,6	21,6	0,1	11,8	37
19.06.2019	15,9	30,5	22,8	0,4	13,8	44
20.06.2019	15,8	21,9	18,6	0,8	3,8	27
21.06.2019	15	23,5	19,4	0,9	7,8	26
22.06.2019	16,4	21,8	18,5	0	1,3	32
23.06.2019	15,1	26,7	20,6	0	10,3	18
24.06.2019	16	31,6	23,7	0	14,8	16
25.06.2019	17,8	33,4	25,2	0	14,6	14
26.06.2019	19,3	35	26,9	0	14,4	13
27.06.2019	20,4	34,9	27,8	0	14,3	21
28.06.2019	19,4	31,7	25,6	0	15,3	26
29.06.2019	17,4	33,4	25,5	0	15,3	21
30.06.2019	18,4	35,7	27	0	14,9	31
01.07.2019	19,9	34	27,2	30,6	12,2	34
02.07.2019	15,7	27,5	22,3	0	11	81
03.07.2019	17,6	27,1	21,7	0	11,9	26
04.07.2019	15,4	28,9	22,1	0	15,1	21
05.07.2019	16,3	31,3	23,7	0	14,9	27
06.07.2019	16,1	28,6	22	7,2	10,8	60
07.07.2019	16	26,9	20	3,8	6,1	53
08.07.2019	15,3	20,7	17,9	0	1,2	19
09.07.2019	14,1	23,9	18,2	0	8,9	26
10.07.2019	12,3	23,7	17,8	0	14,9	21
11.07.2019	13,6	21,1	17	5,1	2,6	15
12.07.2019	14,6	20,7	16,8	12,5	2,4	30
13.07.2019	13,7	23,2	17,7	0	9,1	28
14.07.2019	13,2	25,4	18,4	0	10,1	47
15.07.2019	14,6	25,4	19	0	8,3	28
16.07.2019	13,5	27,4	20,3	0	14	17
17.07.2019	15	29	21,9	0	13,8	27
18.07.2019	15,2	28,3	21,7	0	10,5	24
19.07.2019	17,6	28,9	23,1	0	11,7	30
20.07.2019	17	32,4	24,3	4,3	12,3	40
21.07.2019	17,9	28,8	23	0,4	7,2	27
22.07.2019	18,1	30,7	24	0	12,8	19
23.07.2019	18,2	33,5	25,9	0	14,6	15
24.07.2019	18,9	36,1	26,7	0	14,5	14
25.07.2019	20,6	36,9	28,3	0	12,6	22
26.07.2019	21,4	34,7	27,5	0,4	11,8	47
27.07.2019	17,3	29,1	22,2	12,9	5,8	41
28.07.2019	15,6	20,7	17,6	25,4	0	36
29.07.2019	15,6	25,4	20,1	0	7,4	27
30.07.2019	18,1	29,3	23,3	13,2	12,4	25
31.07.2019	15,5	22,9	18,6	0	4,9	21
01.08.2019	15,1	27,1	20,8	0	12,5	18
02.08.2019	16,3	23,2	19,6	0,6	5	32
03.08.2019	15,2	26,7	20,4	0	9,8	28
04.08.2019	14,9	27,5	20,9	0	12,7	15
05.08.2019	17,5	29,5	22,7	29,2	7	30
06.08.2019	17,5	23,9	19,9	4,5	2,8	22
07.08.2019	16,6	21,1	18,6	10,3	0,7	27
08.08.2019	15,7	26,3	20,2	0	10,4	16
09.08.2019	15,9	30,8	23,5	10,9	11,5	28
10.08.2019	16,2	23,7	20	6,3	3,1	39
11.08.2019	15,3	29	20,8	6,5	11,2	41
12.08.2019	15,1	19	16,7	1,3	0,6	23
13.08.2019	12,4	20,8	16,7	0	4,5	23
14.08.2019	12,1	23	17,2	0	13,4	18
15.08.2019	12,4	22	16,4	4,1	3,3	46
16.08.2019	12,5	24,3	18,4	0	12,8	32
17.08.2019	13,9	23,5	18,9	0	1	15
18.08.2019	15,8	32	23,2	16,9	12,6	55
19.08.2019	16,2	24	19,3	6,1	2,4	22
20.08.2019	13,3	17	15,4	21,9	0	21
21.08.2019	11,8	21,2	16,4	0	7,1	37
22.08.2019	13,4	21,4	16,5	0	3,3	23
23.08.2019	12,2	24,2	18,1	0	6,3	28
24.08.2019	14,7	24,4	18,8	0	6,3	13
25.08.2019	14,4	28,2	19,5	0	8,1	14
26.08.2019	15	28,9	21,4	0	11,5	14
27.08.2019	16,3	28,7	21,9	0	11,9	14
28.08.2019	18,6	30,3	23,6	0	9,3	22
29.08.2019	18	25,9	21,2	10,1	7,1	21
30.08.2019	16,4	29,8	22,3	0	12,5	18
31.08.2019	16,7	28,5	22,3	0	10	19
01.09.2019	16,7	24,4	19,6	10,4	1,7	23
02.09.2019	12,2	18,4	16,1	0,3	0,1	20
03.09.2019	11,5	23,2	16,6	0	11,7	15
04.09.2019	11,6	24,9	17,7	0	12,3	14
05.09.2019	12,4	18,3	13,9	3,8	2,8	27
06.09.2019	11,6	16,4	13,5	3,4	0	22
07.09.2019	11,9	18,5	13,7	10,4	1,7	28
08.09.2019	10,3	12,6	11,2	26,1	0	21
09.09.2019	9,9	17,4	12,6	0,7	6,3	33
10.09.2019	10	21,9	15,1	0	9,7	18
11.09.2019	10,6	22,7	16	0	9,5	19
12.09.2019	12,3	24,2	17,7	0	11,8	14
13.09.2019	12	26	18,4	0	12,1	15
14.09.2019	14,1	26,2	19,3	0	11,9	19
15.09.2019	13,9	25,2	18,6	0	8,6	14
16.09.2019	15,5	28,2	20,1	0	7,9	28
17.09.2019	14	24,7	18,8	0	8,7	24
18.09.2019	10,5	19,4	14,7	0	9,8	27
19.09.2019	8,6	18,4	12,9	0	11,7	35
20.09.2019	7,7	18,8	12,8	0	11,8	31
21.09.2019	6,7	20,9	13,4	0	11,7	17
22.09.2019	11,2	21,3	15,8	6,2	6	35
23.09.2019	10,5	18,8	13,9	10,3	3,2	48
24.09.2019	9,9	15,2	12,9	1,4	0	28
25.09.2019	13	18,5	14,8	1,5	2,7	40
26.09.2019	12,8	18,2	15,1	0,7	0,1	32
27.09.2019	14,1	23,3	17,3	14,5	5,5	46
28.09.2019	12,2	19,6	15,5	0	7,3	38
29.09.2019	9,6	23,4	16,4	0	9,6	43
30.09.2019	10,5	19,8	16,4	0	9,4	58
01.10.2019	8,8	23,7	14,9	5,7	8,3	46
