Stations_ID;Stations_Name;Parameter;Von_Datum;Bis_Datum;Gesamt_Fehlwerte;Beschreibung;eor;                                                                                                              
6258;Friedrichshafen-Unterraderach;R1;05.01.2003;30.03.2022;70;Gesamt_Messzeitraum;eor;                                                                                                                 
6258;Friedrichshafen-Unterraderach;RS_IND;05.01.2003;30.03.2022;70;Gesamt_Messzeitraum;eor;                                                                                                             
6258;Friedrichshafen-Unterraderach;WRTR;05.01.2003;10.01.2012;1150;Gesamt_Messzeitraum;eor;                                                                                                             
Stations_ID;Stations_Name;Parameter;Von_Datum;Bis_Datum;Anzahl_Fehlwerte;Beschreibung;eor;                                                                                                              
6258;Friedrichshafen-Unterraderach;R1;05.01.2003-01:00;05.01.2003-02:00;1;;eor;                                                                                                                         
6258;Friedrichshafen-Unterraderach;R1;05.01.2003-04:00;05.01.2003-05:00;1;;eor;                                                                                                                         
6258;Friedrichshafen-Unterraderach;R1;05.01.2003-07:00;05.01.2003-08:00;1;;eor;                                                                                                                         
6258;Friedrichshafen-Unterraderach;R1;05.01.2003-10:00;05.01.2003-11:00;1;;eor;                                                                                                                         
6258;Friedrichshafen-Unterraderach;R1;05.01.2003-13:00;05.01.2003-14:00;1;;eor;                                                                                                                         
6258;Friedrichshafen-Unterraderach;R1;05.01.2003-16:00;05.01.2003-17:00;1;;eor;                                                                                                                         
6258;Friedrichshafen-Unterraderach;R1;05.01.2003-19:00;05.01.2003-20:00;1;;eor;                                                                                                                         
6258;Friedrichshafen-Unterraderach;R1;05.01.2003-22:00;05.01.2003-23:00;1;;eor;                                                                                                                         
6258;Friedrichshafen-Unterraderach;R1;06.01.2003-01:00;06.01.2003-02:00;1;;eor;                                                                                                                         
6258;Friedrichshafen-Unterraderach;R1;06.01.2003-04:00;06.01.2003-05:00;1;;eor;                                                                                                                         
6258;Friedrichshafen-Unterraderach;R1;06.01.2003-07:00;06.01.2003-08:00;1;;eor;                                                                                                                         
6258;Friedrichshafen-Unterraderach;R1;06.01.2003-10:00;06.01.2003-11:00;1;;eor;                                                                                                                         
