Stations_ID;Stations_Name;Parameter;Von_Datum;Bis_Datum;Anzahl_Fehlwerte;Beschreibung;eor;                                                                                                              
2712;Konstanz;R1;11.09.1995-22:00;11.09.1995-23:00;1;;eor;                                                                                                                                              
2712;Konstanz;R1;13.10.1995-22:00;13.10.1995-23:00;1;;eor;                                                                                                                                              
2712;Konstanz;R1;16.04.1996-10:00;16.04.1996-11:00;1;;eor;                                                                                                                                              
2712;Konstanz;R1;07.05.1996-14:00;07.05.1996-15:00;1;;eor;                                                                                                                                              
2712;Konstanz;R1;08.05.1996-18:00;09.05.1996-07:00;13;;eor;                                                                                                                                             
2712;Konstanz;R1;20.05.1996-17:00;20.05.1996-18:00;1;;eor;                                                                                                                                              
2712;Konstanz;R1;01.11.1996-23:00;02.11.1996-00:00;1;;eor;                                                                                                                                              
2712;Konstanz;R1;25.03.1997-15:00;25.03.1997-16:00;1;;eor;                                                                                                                                              
2712;Konstanz;R1;07.08.1997-23:00;08.08.1997-05:00;6;;eor;                                                                                                                                              
2712;Konstanz;R1;22.08.1997-17:00;22.08.1997-18:00;1;;eor;                                                                                                                                              
2712;Konstanz;R1;04.09.1997-03:00;04.09.1997-05:00;2;;eor;                                                                                                                                              
2712;Konstanz;R1;23.09.1997-22:00;23.09.1997-23:00;1;;eor;                                                                                                                                              
2712;Konstanz;R1;13.10.1997-16:00;13.10.1997-18:00;2;;eor;                                                                                                                                              
2712;Konstanz;R1;24.10.1997-09:00;24.10.1997-11:00;2;;eor;                                                                                                                                              
2712;Konstanz;R1;04.01.1998-10:00;04.01.1998-13:00;3;;eor;                                                                                                                                              
2712;Konstanz;R1;04.01.1998-15:00;04.01.1998-23:00;8;;eor;                                                                                                                                              
2712;Konstanz;R1;05.01.1998-01:00;05.01.1998-06:00;5;;eor;                                                                                                                                              
2712;Konstanz;R1;05.01.1998-08:00;06.01.1998-07:00;23;;eor;                                                                                                                                             
2712;Konstanz;R1;07.01.1998-10:00;07.01.1998-11:00;1;;eor;                                                                                                                                              
2712;Konstanz;R1;21.01.1998-06:00;21.01.1998-08:00;2;;eor;                                                                                                                                              
2712;Konstanz;R1;04.02.1998-18:00;04.02.1998-20:00;2;;eor;                                                                                                                                              
2712;Konstanz;R1;15.03.1998-00:00;15.03.1998-01:00;1;;eor;                                                                                                                                              
2712;Konstanz;R1;23.07.1998-19:00;23.07.1998-20:00;1;;eor;                                                                                                                                              
2712;Konstanz;R1;22.10.1998-02:00;22.10.1998-03:00;1;;eor;                                                                                                                                              
2712;Konstanz;R1;22.10.1998-16:00;22.10.1998-17:00;1;;eor;                                                                                                                                              
2712;Konstanz;R1;16.02.1999-10:00;16.02.1999-11:00;1;;eor;                                                                                                                                              
2712;Konstanz;R1;25.02.1999-05:00;25.02.1999-06:00;1;;eor;                                                                                                                                              
2712;Konstanz;R1;31.01.2000-09:00;31.01.2000-10:00;1;;eor;                                                                                                                                              
2712;Konstanz;R1;16.04.2000-19:00;17.04.2000-04:00;9;;eor;                                                                                                                                              
2712;Konstanz;R1;16.08.2000-09:00;16.08.2000-19:00;10;;eor;                                                                                                                                             
2712;Konstanz;R1;13.09.2000-07:00;13.09.2000-08:00;1;;eor;                                                                                                                                              
2712;Konstanz;R1;04.12.2000-16:00;05.12.2000-03:00;11;;eor;                                                                                                                                             
2712;Konstanz;R1;05.12.2000-23:00;06.12.2000-02:00;3;;eor;                                                                                                                                              
2712;Konstanz;R1;28.01.2001-08:00;28.01.2001-09:00;1;;eor;                                                                                                                                              
2712;Konstanz;R1;19.02.2001-08:00;19.02.2001-09:00;1;;eor;                                                                                                                                              
2712;Konstanz;R1;01.04.2001-00:00;01.04.2001-11:00;11;;eor;                                                                                                                                             
2712;Konstanz;R1;01.04.2001-13:00;01.04.2001-17:00;4;;eor;                                                                                                                                              
2712;Konstanz;R1;01.04.2001-19:00;01.04.2001-23:00;4;;eor;                                                                                                                                              
2712;Konstanz;R1;02.04.2001-01:00;02.04.2001-05:00;4;;eor;                                                                                                                                              
2712;Konstanz;R1;02.04.2001-07:00;02.04.2001-11:00;4;;eor;                                                                                                                                              
2712;Konstanz;R1;02.04.2001-13:00;02.04.2001-17:00;4;;eor;                                                                                                                                              
2712;Konstanz;R1;02.04.2001-19:00;02.04.2001-23:00;4;;eor;                                                                                                                                              
2712;Konstanz;R1;08.05.2001-08:00;08.05.2001-09:00;1;;eor;                                                                                                                                              
2712;Konstanz;R1;09.08.2003-00:00;09.08.2003-09:00;9;;eor;                                                                                                                                              
2712;Konstanz;R1;13.08.2003-09:00;13.08.2003-10:00;1;;eor;                                                                                                                                              
2712;Konstanz;R1;16.03.2004-15:00;16.03.2004-19:00;4;;eor;                                                                                                                                              
2712;Konstanz;R1;03.12.2008-13:00;03.12.2008-14:00;1;;eor;                                                                                                                                              
2712;Konstanz;R1;29.06.2011-12:00;29.06.2011-13:00;1;;eor;                                                                                                                                              
2712;Konstanz;R1;29.06.2011-19:00;30.06.2011-07:00;12;;eor;                                                                                                                                             
2712;Konstanz;R1;04.09.2017-05:00;04.09.2017-06:00;1;;eor;                                                                                                                                              
2712;Konstanz;R1;14.09.2017-08:00;14.09.2017-14:00;6;;eor;                                                                                                                                              
2712;Konstanz;R1;14.09.2017-16:00;15.09.2017-03:00;11;;eor;                                                                                                                                             
2712;Konstanz;R1;15.09.2017-12:00;16.09.2017-03:00;15;;eor;                                                                                                                                             
2712;Konstanz;R1;16.09.2017-16:00;17.09.2017-03:00;11;;eor;                                                                                                                                             
2712;Konstanz;R1;17.09.2017-16:00;18.09.2017-03:00;11;;eor;                                                                                                                                             
2712;Konstanz;R1;14.12.2019-12:00;15.12.2019-05:00;17;;eor;                                                                                                                                             
2712;Konstanz;R1;15.12.2019-07:00;16.12.2019-18:00;35;;eor;                                                                                                                                             
2712;Konstanz;RS_IND;11.09.1995-22:00;11.09.1995-23:00;1;;eor;                                                                                                                                          
2712;Konstanz;RS_IND;13.10.1995-22:00;13.10.1995-23:00;1;;eor;                                                                                                                                          
2712;Konstanz;RS_IND;16.04.1996-10:00;16.04.1996-11:00;1;;eor;                                                                                                                                          
2712;Konstanz;RS_IND;07.05.1996-14:00;07.05.1996-15:00;1;;eor;                                                                                                                                          
2712;Konstanz;RS_IND;08.05.1996-18:00;09.05.1996-07:00;13;;eor;                                                                                                                                         
2712;Konstanz;RS_IND;20.05.1996-17:00;20.05.1996-18:00;1;;eor;                                                                                                                                          
2712;Konstanz;RS_IND;01.11.1996-23:00;02.11.1996-00:00;1;;eor;                                                                                                                                          
2712;Konstanz;RS_IND;25.03.1997-15:00;25.03.1997-16:00;1;;eor;                                                                                                                                          
2712;Konstanz;RS_IND;07.08.1997-23:00;08.08.1997-05:00;6;;eor;                                                                                                                                          
2712;Konstanz;RS_IND;22.08.1997-17:00;22.08.1997-18:00;1;;eor;                                                                                                                                          
2712;Konstanz;RS_IND;04.09.1997-03:00;04.09.1997-05:00;2;;eor;                                                                                                                                          
2712;Konstanz;RS_IND;23.09.1997-22:00;23.09.1997-23:00;1;;eor;                                                                                                                                          
2712;Konstanz;RS_IND;13.10.1997-16:00;13.10.1997-18:00;2;;eor;                                                                                                                                          
2712;Konstanz;RS_IND;24.10.1997-09:00;24.10.1997-11:00;2;;eor;                                                                                                                                          
2712;Konstanz;RS_IND;04.01.1998-10:00;04.01.1998-13:00;3;;eor;                                                                                                                                          
2712;Konstanz;RS_IND;04.01.1998-15:00;04.01.1998-23:00;8;;eor;                                                                                                                                          
2712;Konstanz;RS_IND;05.01.1998-01:00;05.01.1998-06:00;5;;eor;                                                                                                                                          
2712;Konstanz;RS_IND;05.01.1998-08:00;06.01.1998-07:00;23;;eor;                                                                                                                                         
2712;Konstanz;RS_IND;07.01.1998-10:00;07.01.1998-11:00;1;;eor;                                                                                                                                          
2712;Konstanz;RS_IND;21.01.1998-06:00;21.01.1998-08:00;2;;eor;                                                                                                                                          
2712;Konstanz;RS_IND;04.02.1998-18:00;04.02.1998-20:00;2;;eor;                                                                                                                                          
2712;Konstanz;RS_IND;15.03.1998-00:00;15.03.1998-01:00;1;;eor;                                                                                                                                          
2712;Konstanz;RS_IND;23.07.1998-19:00;23.07.1998-20:00;1;;eor;                                                                                                                                          
2712;Konstanz;RS_IND;22.10.1998-02:00;22.10.1998-03:00;1;;eor;                                                                                                                                          
