Stations_ID;Stations_Name;Parameter;Von_Datum;Bis_Datum;Gesamt_Fehlwerte;Beschreibung;eor;                                                                                                              
6263;Singen;R1;01.07.2004;30.03.2022;36;Gesamt_Messzeitraum;eor;                                                                                                                                        
6263;Singen;RS_IND;01.07.2004;30.03.2022;36;Gesamt_Messzeitraum;eor;                                                                                                                                    
6263;Singen;WRTR;01.07.2004;10.01.2012;685;Gesamt_Messzeitraum;eor;                                                                                                                                     
Stations_ID;Stations_Name;Parameter;Von_Datum;Bis_Datum;Anzahl_Fehlwerte;Beschreibung;eor;                                                                                                              
6263;Singen;WRTR;06.07.2004-23:00;07.07.2004-01:00;2;;eor;                                                                                                                                              
6263;Singen;WRTR;19.07.2004-00:00;19.07.2004-01:00;1;;eor;                                                                                                                                              
6263;Singen;WRTR;24.07.2004-12:00;24.07.2004-13:00;1;;eor;                                                                                                                                              
6263;Singen;WRTR;13.08.2004-15:00;13.08.2004-16:00;1;;eor;                                                                                                                                              
6263;Singen;WRTR;17.08.2004-11:00;17.08.2004-13:00;2;;eor;                                                                                                                                              
6263;Singen;WRTR;17.08.2004-18:00;17.08.2004-21:00;3;;eor;                                                                                                                                              
6263;Singen;WRTR;19.08.2004-06:00;19.08.2004-09:00;3;;eor;                                                                                                                                              
6263;Singen;WRTR;20.08.2004-00:00;20.08.2004-06:00;6;;eor;                                                                                                                                              
6263;Singen;WRTR;20.08.2004-14:00;20.08.2004-15:00;1;;eor;                                                                                                                                              
6263;Singen;WRTR;24.08.2004-06:00;24.08.2004-07:00;1;;eor;                                                                                                                                              
6263;Singen;WRTR;26.08.2004-11:00;26.08.2004-12:00;1;;eor;                                                                                                                                              
6263;Singen;WRTR;30.08.2004-12:00;30.08.2004-13:00;1;;eor;                                                                                                                                              
6263;Singen;WRTR;11.09.2004-20:00;11.09.2004-21:00;1;;eor;                                                                                                                                              
6263;Singen;WRTR;19.09.2004-21:00;19.09.2004-22:00;1;;eor;                                                                                                                                              
6263;Singen;WRTR;24.09.2004-00:00;24.09.2004-01:00;1;;eor;                                                                                                                                              
6263;Singen;WRTR;24.09.2004-03:00;24.09.2004-06:00;3;;eor;                                                                                                                                              
6263;Singen;WRTR;06.10.2004-21:00;06.10.2004-22:00;1;;eor;                                                                                                                                              
